Foul,Post,
0,"""Moradabad hotel manager ki atmahatya ka mamla, patni, saali samet 4 logon par case darj, jehar khate samay banaya tha video, patni-parijanon ko bataya maut ka jimmedar, civil lines thane mein darj hua hai case.""",
0,"""Yadi dukaan ki doori 2 kilometer tak hai to paidal jana hoga. Bharat sarkar kheton mein yooriya ke upayog par pratibandh lagane ja rahi hai. Kheti mein ab yooriya ka upayog band karegi sarkar.""",
0,"""Kitna bhi cheekh le Mahesh Bhatt, tere kukarmo ki saza teri beti ko milni hi hai. Tu jitna cheekhega - Sushant ke chahne walon ko utna sukoon milega, abhi trailer pe ye haal hai toh soch film ke release par kya hoga @MaheshNBhatt RT SSR walon 🙏""",
0,"""RT @aadhiIa: Uddhav Thackeray ki BMC sena ka POK mein ghuskar dhamaka. Aatankvadi sangathanon ke kayi bunkar tabah kiye. Sanghi aatankwadiyon samet poore Lashkar-e-Noor...""",
0,"""Is waqt ki badi khabrein",
0,"""@sambitswaraj hamare purkhon ne 800 saal tak raj kiya hai. Ye kehne ke baad Abdul Pancher ban gaya 😆🤣😂""",
1,"""Kangana ki deewar girana loktantra par hamla hai. Arre kutt*o, Gujarat mein garibo ke ghar ke aage deewar bana kar kaun sa loktantra surakshit hua tha.""",
0,"""PUBG game par jitna jaldi ho sarkar karvayi karein, yeh bachche ko zindagi se khilwad ho rahi hai. PUBG ko ban karo aane wali pidhi ko jeene do.""",
0,"""Indian Railways ne 960 se adhik stations ka saurkaran kiya. 550 stations, jo nispadan ke adheen hain, ke liye 198 megawatt solar rooftop capacity ke liye order diye gaye hai @RailMinIndia @PiyushGoyalOffc @PiyushGoyal""",
0,"""@LambaAlka Kashmir mein toh nahi hai abhi video ki tasveer se toh aise hi lag raha hai thoda kast karke Ladakh pahunch jaiye jankari puri mil jayegi aankhon dekhi haal pata chal jayega gaddaron ki asli tasveer dekhne ko mil jayegi.""",
0,"""Har jaan hai kimti. #AAP ke oxygen mitr kar rahe hain sabki oxygen jaanch. #4September #MadhyaPradesh @ArvindKejriwal @AapKaGopalRai @AnkushNarang_ @PankajSinghAAP https://t.co/PWWm3vvpOZ""",
0,"""Delhi ke mukhyamantri @ArvindKejriwal ji ke prati deewangi aisi ki aaj Bharat aur Pakistan ke Vishwa Cup match mein lage naare, Jeetega bhai jeetega Kejriwal jeetega... @ArvindKejriwal @SanjayAzadSln""",
0,"""IT minister Ravi Shankar Prasad ne Mark Zuckerberg ko patra likha, kaha - Facebook ke karmachari PM Modi ke prati apashabd kehte hain""",
0,"""Corona daur mein placement offer wapas le rahi hain companies, chhatra pareshan https://t.co/qRgKcLnkpl""",
0,"""RT @Pb_swain: Pichle 6 varshon ne yeh siddh kar diya ki Congress koi rajneetik dal nahi.... Ek chhupa hua Islamic sangathan hai....👍""",
0,"""Kafeel Khan ke mamle mein high court ka faisla Yogi sarkar ke anyayi chehre ko benaqab karta hai dhyan se padho Yogi ji, high court ne kaha 'Kafeel Khan ka bhashan rashtriya ekta aur akhanda ki appeal karta hai' aur Yogi ji ne Kafeel ko rashtradrohi ghoshit kar diya 'sharmnak' #drkafeelkhan""",
0,"""Bihar ke pehle expressway ke nirmaan ka raasta hua saaf, Aurangabad se Jaynagar tak banegi four-lane sadak #Bihar #Expressway #Aurangabad""",
0,"""Desh mein #Corona sankraman ke graph mein sabse upar Maharashtra, IMA ne kaha - logon mein dar aur hospital, dawa, testing aur oxygen ki kami se samasya https://t.co/AUNbJmwB2q""",
0,"""Yeh ek sankramak bimari hai, jo kisi ko bhi ho sakti hai, isliye savdhan, satark rehkar hamein apna bachav karna hai. Sankraman se bachav ke tareekon ko hum aur majbooti se apnayen: ACS, Chikitsa evam Swasthya, Shri Amit Mohan Prasad ji @ShishirGoUP""",
0,"""RT @Pb_swain: Aaj ek electric ki dukaan mein gaya aur bola """"Ek Rahul de do"""" Usne turant ek tubelight de diya, aajkal prachar hoti der nahi lagti...""",
0,"""Is tasveer ne chhoo liya Anand Mahindra ka dil, unhone Nitin Gadkari se ki khaas guzarish .",
0,"RT @Pb_swain: Aaj ek electric ki dukaan mein gaya aur bola ""Ek Rahul de do."" Usne turant ek tubelight de diya, aajkal prachar hoti der nahi lagti.",
0,"Is tasveer ne chhoo liya Anand Mahindra ka dil, unhone Nitin Gadkari se ki khaas guzarish https://t.co/5hYMCFz5Pe via @NavbharatTimes #AnandMahindra #NitinGadkari https://t.co/nPeHIBtppR",
0,"""Main kisano ki baat karta hoon aur bahut si cheezein kahi ja sakti hain... Thahriye bhaiya bolne dijiye.",
1,"Unnao rape case ke doshi BJP vidhayak Kuldeep Singh Sengar ko high court se mili jamaant. Ab sawaal yeh uthata hai ki jis jaj ne jamaant diya hai, agar peedita usi jaj ki beti hoti, toh bhi vah jaj jamaant de deta kya? Laanat hai aise jajon par. Vah jaj nahi balki jaj ke bhesh mein chhupa hua bhediya hai. @LambaAlka",
0,"@RajeshpandeyAm @amethipolice - Kripaya suchnaarth evam aavashyak kaaryavaahi hetu. ""Dharm parivartan karke shaadi ya nikaah se jude mamle ki jaanch SIT karegi."" #UttarPradesh #Kanpur https://t.co/26r4SLvjrH",
0,"Up Rashtrapati @MVenkaiahNaidu ne #PranabMukherjee ke nidhan par gehra dukh vyakt karte hue kaha, unhone us har pad ki garima aur shishtata ke saath shobha badhai jis par vah rahe. Unki mrityu ke saath Bharat ne ek behtareen neta kho diya hai https://t.co/K5ivtqfe7M https://t.co/K6MXLfak6I",
0,@harish3912 @RahulEaswar Yeh Rahul Easwar kamina kab se rightist se leftists ho gaya lagta hai Ravi Srivastava aur Sumanth Raman ka asar aa gaya hai ,
0,Sivani mein fasal kharab hone par Kejriwal sarkar ki tarz par AAP ne ki 50 hazaar rupaye prati hectare muavza dene ki maang. @ArvindKejriwal @AapKaGopalRai @PankajSinghAAP https://t.co/FKkRpuruLm,
0,Ab UP-Bihar ke logon ko Dilli se bhi bhaga dena chahiye: Ramesh Bidhuri BJP sansad Ramesh Bidhuri ne kaha ab UP-Bihar ke logon ko Dilli se bhi bhaga dena chahiye,
0,"Yeh video haal hi mein durghatnagrasht huye Ethiopian Airlines ka hai. Boom ne paya ki viral video 2013 se hai aur Afghanistan mein durghatnagrasht Dubai ke ek cargo malvahak vimaan ko dikhata hai, na ki Ethiopian Airlines yatri vimaan ko jo haal hi mein crash hua tha. Is vimaan mein sawar sabhi 157 yatriyon ki maut ho gayi thi. Haal hi mein hue Ethiopian Airlines ke crash ka video",
0,Sushant ko nyay 'pryojit' interview se nahi #IAmSushant par tweet kar den apni ray https://t.co/IXQwI6IUdn @aditi_tyagi @SachinArorra @Shehzad_Ind @shwetasinghkirt @ishkarnBHANDARI @Swamy39 @kanganaranut @anky1912 @shekharsuman7 LIVE- https://t.co/IXQwI6IUdn https://t.co/E8S4H0paKa,
0,"Bhaijaan ka beta hai.... Naale ke paani se phal dhokar swachh paani ki bachat kar raha hai. Hinduon, Navratri ke upvaas mein is mahaan rashtrabhakt paryavaranpremi se hi phal khareedna. Jai Mata Di!!!!!!! RT @WasiuddinSiddi1: ""Ek anchor aakar kehta hai ki ek vishesh samudaay UPS... Main niji-karan ke saath hoon... Kyunki Bharat mein 90% govt karmachari kaam na karne ki salary lete hain, aur kaam karne ki rishwat lete hain!""",
0,Mehul Choksi aur Rana Kapoor ne #RajivGandhiFoundation ko paise diye; Jinnesha Shah ne bhi foundation ko 50 lakh rupaye diye: BJP FULL PRESS CONFERENCE: https://t.co/6HNzre8Q3z https://t.co/T5zZ0Q1sSf,
0,"Mahabharat yug mein Pandavon ne Bihar ke is jagah banaya tha surang, aaj vahaan sthaaniya log karte hain kheti #Mahabharat #Bihar https://t.co/DVTH8tvQ3u",
0,"#PolticsDinbhar - Shourya ka abhinandan - PM Modi aaj Tamil Nadu daure par - Pradesh BJP mein bagiyon ki vapasi! https://t.co/MVupTqjtnl Maananiya Rajya Sabha sansad Shri Ranjan Gogoi ji ko corona sankramit hone ka samaachar praapt hua. Main, Vishwa Vidhata Bhagwan Shri Ram se unke swasthya labh ki prarthana karti hoon.",
,,
0,"Polic ke samne hi mob lynching ki vaardaat,
Polic badmaash ko aspatal bhi nahi le gayi,
Gusse gramino ke samne bebas dikhi Polic,
Tarya Sujan ke Rampur Bangra mein double murder. @kushinagarpol @Uppolice #policemedianews
Madhya Pradesh Mukhyamantri @ChouhanShivraj ji ke 2 roop... https://t.co/YXxKQfR7QP
@narendramodi desh ki sarkari company BSNL ko nuksan pahuncha kar Jio Airtel ko 5 lakh karod ki faida pahunchai gayi. Yadi 6 saal pehle BSNL ko 4G ki hoti to yah paanch lakh karod Bharat ki tijori mein hoti Bharat ke tijori se janta ki suvidha ke liye kharch hoti jo bhrashtachar ki bhent chadh gayi desh ke gaddar ko pahchane
@threadreaderapp @anuragkashyap72 @anikspeaks Sale gyaani baba ko jail jana chahiye aur iske support ko bhi saala ganje baj drug lene bal kamine
Dakshini Mumbai ke Croford Market mein ek tez raftaar car janta cafe ke bheetar ghus gayi. Der raat ek over speed car aniyamit hui aur sadak kinare bane janta cafe se takra gayi. Is haadse mein ab tak chaar logon ke mare jaane ki khabar hai. https://t.co/INyEHl7GJQ""",
1,Sarang ne kendriya suchna evam prasaran mantri Prakash Javadekar ko patra likh kar filmi sitaron se judi 'drug parties' ki khabron par chinta jahir ki hai. #HindiNews https://t.co/HONClq5PDg,
0,"Siyachin Glacier mein tainaat Bharatiya Sainik | Yahan tapmaan minus 50 degree Celsius hota hai |
✍️Kuch shayari humare Pappu ke naam
Naav lagbhag doob chuki mushkil future mein jeetna
Bacha Congress ke haath, Pappu ke liye taali peetna #ModiHaiToMumkinHai @cls_delhi @sumit__hindu @keshu_777",
0,Purv Rashtrapati Pranab Mukherjee ke jeevan ki ankaahi baatein #PranabMukherjee https://t.co/VasV8WlWww,
0,"@ArvindKejriwal desh ka kisan kya chahta hai ye kisan khud hi jaanate hai. Tujh jaise neech kameena jo satta ke liye Dilli danga aur thappad bhi kha sakta hai wo kisan ki baat na kare to hi achha hai. AAP to sarkar ke har bill ka virodh hi kiya hai, 370, 3 talak, CAA, Yahan to Ke Ram Mandir ka faisla court ne kiya iska bhi",
0,"Desh mein corona sankraman ka ankda 42 lakh ke paar pahuncha, naye mamlo ke ankde jaan kar hairaan ho jaenge aap @bramhprakash7 #ZeeJankariOnCorona https://t.co/eh5R7yVAoM",
1,"@Live_Hindustan Sahi bol rahi ho Alia, tharki hawasi tera baap ke baare mein duniya jaanti hai. Teri bhasha toh galiyon mein hi utarti hai.",
0,Jis social platform ke jariye BJP satta mein aayi aur jhooth ki baaton ko prachar kiya usi platform par aajkal sahab ko dislike mil rahe hain wo bhi bulk mein. Samay firata hai malik.,
0,"...Jabki Hamirpur mein 1.3 pratishat, Sambhal mein 1.2 pratishat, Hathras mein 0.1 pratishat, Bagpat mein 0.7 pratishat, tatha Mahoba mein 0.8 pratishat sabse kam positivity pai gayi hai: ACS, Chikitsa evam Swasthya, Shri Amit Mohan Prasad ji",
0,"Aane wali naslen tum par fakhr karengi hum-asaro
Jab bhi unko dhyan aayega tum ne 'Firaq' ko dekha hai.
Gorakhpur mein janme, Angrezi, Urdu, Farsi ke prakand vidwan, Raghu Pati Sahay 'Firaq Gorakhpuri' Urdu ke mahaan shair the. Unke janm-din ke avasar par unhein vinamr shradhanjali arpit karta hoon.",
0,Arnab Goswami se patrakarita jagat ko utna hi faayda hota hai jitna Mukhtar Abbas Naqvi se musalmanon ka. #ArrestAntiIndiaArnab,
0,"Yeh Kerala ka Moinuddin hai. Unhone 1989 mein JNU mein pravesh liya. Yadi saal-dar-saal unhone BA, MA, MPhil aur PhD mein dakhila liya, to unhein 2001 mein JNU chhod dena chahiye tha aur kaam karna shuru karna chahiye tha.",
0,#RCB ke liye Butler ko maangne par #RajasthanRoyals ne ek fan ko diya majedaar jawab https://t.co/fYRZutkyC0,
0,Kya isliye #Delhigenocide #DelhiPolice nd 4wks? Kisi ko lagta hai ki Delhi Police apna kaam kar rahi hai to wo apni galatfahmi is video ko dekh kar door kar le.....@IndiaToday @TimesNow Question the ones who r 2b questioned. Media do your job. @RahulGandhi @priyankagandhi।,
1,Hindustan ke andar Hindus ka hi dharmaparivartan Hindu betiyon ke saath love jihad Hindu parivaron ka palayan Hindu devi devtaon ko gaalian Hindus ki sanskriti ke saath khilvaad. Aakhir aisa kab tak chalega? 🤔🙃,
1,@anuragkashyap72 @PriyankaKhimani Tharki saala.... Chal ab film bana is par.,
1,"Padosi- Aapke bete ki achanak shaadi kaise toot gayi.. Pita - Kisi kamine ne afwah faila di ki wo Congress

 wale hai.",
1,"Arrey Kavita tai, in logo ko shayari samajh mein aati hai kya? Inhein toh sirf social media pe galiyan dena aata hai.😏",
0,"Jaante ho mere bhaiyon,
Sabse mushkil kaam yahi hai,
Humare desh ke andar se,
Pakistaniyo ki pungi bajaana.
Agar man me ho dum,
Toh comment karo bhaiyo,
Modi, Modi me dum.",
,,
,,
0,"Lokayukt ki karvai: Khanij adhikari Pradeep Khanna ke 3 sthanon par chhapemari; Indore mein flat-makan mila, Bhopal mein 9 lakh rupaye cash aur bungalow aur do car mili https://t.co/DWzlwmpbTp #PradeepKhanna #Indore @OfficeofSSC
Purv Rashtrapati Pranab Mukherjee nahin rahe. Kai dinon se Purv Rashtrapati Pranab Mukherjee gahan koma mein the. 84 varshiya Mukherjee ko ventilator par rakha gaya tha aur phephade mein sankraman ka ilaj kiya ja raha tha.",
,,
0,#RIP,
0,,
0,"Gunda gardi ka aalam ye hai ki ab Rajya Sabha ko bhi nahi chhoda ja raha hai. Pap party ke leader @ArvindKejriwal kis dogale ko rakha hai re Kejru @SanjayAzadSln sala kukur ko gand mein petrol daal dena chahiye...
#ShameOnYou #PapParty https://t.co/et490HhBhi",
0,@AcharyaPramodk hookah peene ki jaanch asthana kar rahi hai jis par bhrashtachar ke aarop lagai thi CBI office mein tala jari gayi thi raat mein drama hui thi Modi ke mitr hone ke karan bach gayi,
0,Special Frontier Force ke commando Nima Tenzin ki antim yatra mein lage Bharat Mata ki Jai ke naare... https://t.co/uvXZN16I8g,
0,"Petrol Diesel Price: Aaj rahi shanti, jaane apne shehar ke daam
https://t.co/q65QZQZ37u via @NavbharatTimes 
#PetrolPrice #DieselPrice",
0,"Modiji aur jab sara desh sena ke saath khadi hai,

Par do sayane videsh mein pade hain? 🤔 Isliye bolte hain videshi maa ka beta kabhi deshbhakt nahi ho sakta 👍",
0,"Bharatiya Sena Nepal mein air strike karne ja rahi thi. Lekin, Nepal ki Sena ne vimaan ko dhvast kar diya.",
1,Sabse bada kameena Nauti Bhadwa Sooje Mu Wala https://t.co/6wiksUdR3v,
1,"LSI par 1000 varg kilometer ilaake mein China ka kabza': Press review https://t.co/tQNf3NWsE5
@Pawankhera Pawan ji ek vyakti roz jhooth bolta tha aur sab logon ko pata chal gaya ki jhooth bolta hai aur vah next din jab bol raha tha tab vah baat sach thi lekin logon ne yahi mana ki yah sala jhooth bol raha isiliye Congress ka koi varchasva khatm ho gaya ab aap log imli ke ped ke neeche aram karo""",
0,@ZeeNews Mumbai mein lage Pakistan Zindabad ke naare vah bhi mantri ji ke samne,
0,"Bihar: Yahan dekhiye 'smart' tota, use karta hai smartphone, YouTube par dekhta hai apni pasand ka video

Niranjan Singh ki report

https://t.co/H1NJTZNx8G",
0,Bihar chunav mein prachaar karenge Kangana Ranaut/School college rahenge band,
0,"#Delhi mein #COVID19 ke failaav ka pata lagane ke liye maasik siro survey ka teesra daur aaj shuru hoga. Is dauran kareeb 17,000 namune liye jayenge.""",
0,"Bihar ki satta ke samikaran: Bihar Vidhan Sabha chunav ke natije ko lekar atkalon ka bazaar abhi se garam
#BiharElections #biharpolitics @surendarkishore
https://t.co/0m7d9Z47xC",
0,"Pashchim Bengal mein Sharia kaanoon ke tahat logon par ho rahe atyachaar jyadatar Bangladeshi Rohingya Musalmano bahul kshetron mein rahe Hindus par atyachaar par koi sunne wala nahi hai. Secularism ke keede kahan hain, kahan hai Bharat ka Samvidhan.",
0,"Yahi naseehat agar aap Nasiruddin Shah, Munawwar Rana, Aamir Khan, Javed Akhtar ko dete toh humein bahut khushi hoti""",
0,"RT @D_Tribal_: Koi bhakton ka ""netpack recharge"" karvao.? 🙄🙄

Abhi tak kisi ne bhi ""girti arthavyavastha"" ke faayde nahi ginaye. 🤣🤣
Follow :- @Poojam…",
0,"#Amethi Bakri chori ke aarop mein gramino ne chor ko pakadkar peeta, haath-pair bandhkar gramino ne ki peetaai, chor ki peetaai ka video hua viral, police ne aaropi chor ko giriftaar kar bheja jail, Sangrampur thane ke Mishrauli gaav ka mamla. @amethipolice #WorldEyesOnCBI4SSR #UPPolice #policenews",
0,"#Kasganj Gharalu jhagde mein yuvak ne lagai faansi, pita ki jagah bade bhai ko mili thi naukri, arthik tangi ke karan pareshan tha yuvak, soron ke lahara road masjid ke paas ka mamla. @kasganjpolice @Uppolice #policemedianews",
0,"Shaatir apradhi, sharab taskar Golu alias Santosh Yadav aur Chandan Yadav dwara apradh se arjit sampatti ek-ek makan anumanit kimat 1 karod 35 lakh rupaye ko jila magistrate Jaunpur ke aadesh antargat dhara-14(1) Gangster Act ke tahat kurk ki munadi karate hue jabt kiya gaya.
https://t.co/TbjBp8SiTH https://t.co/9PZAB038x3",
0,"RT @ReshmaHindusta1: Riya jail gayi ismein kaun si badi baat hai??

Sanjeev Bhatt bhi jail mein hain
Prajnya Sansad mein hai
Nirav Modi videsh mein hai

Mode s

…",
0,"Bhaskar Exclusive: 100 dino se chal rahi thi JDUlive.com ki taiyari, rally se pehle hi 16.8 lakh visitors
https://t.co/jJ5n99IbmB #BiharElections @Jduonline @NitishKumar",
0,"@Bebaak_Ladka @babu_saffron Arpit ka chhota hai.
Vaaya - Pados waali kutiya",
0,"Bhaiyon isko prashasan kahe, ki kushasan kahe, Dushasan kahe, yah nirankush shasan aur Hitler shahi hai Madhya Pradesh Sarkar ki @gireesh_ji @PankajSinghAAP @ArvindKejriwal @narendramodi @ChouhanShivraj @BansalNewsMPCG @MPTETjoining2 #GiveMPTETjoiningOrAllowToDie https://t.co/qgWSzBtqpU",
0,"Bihar: Jehanabad ke Lal ne ganvai desh ki seema par apni jaan, oxygen ki kami ki vajah se hui maut

Jehanabad se Ranjit Rajan ki report

#China #Ladakh #Jehanabad 

https://t.co/jxaQKN9AI5",
0,"#CoronavirusUpdateinIndia Naye maamlon mein record vriddhi ke baad mili badi raahat
#COVID19 #CoronaInIndia 
https://t.co/aoFVqjvphW",
0,"Bihar mein dharm khatre mein hai jaldi chalo
Sabhi andhbhakt https://t.co/U5gXhfXtXd",
0,@laluprasadrjd bilkul galat disha mein bhatk rahe kuch kijiye vah aapki party ko bhatka rahi hai usi mein bhatka rahe hain Bihar mein pichhle 15 saal mein 1000 ghotalon party ke bade leader prachar karein har roz press conference karein har 5 ghotalon par jikr karein Bihar mein us par sawaal karein har din usko jawab dene par majboor karein,
0,School ki kitaabon par tax lagane wala pehla desh bana Bharat 😊 Anpadh rahega India tabhi to andh bhakt banega India 🤗 @WasiuddinSiddi1,
0,Here is the Hinglish version of the provided text:,
