Foul,Post
0,"@LinzBella 
You date colored men?"
1,Lmfaooo this bitch hits my car and calls the cops and says it was my fault &#128514;&#128514;&#128514; dumb bitch
1,@woohdakidd_74 lol da nicca was str8 n Friday wit out it but dude str8 Uncle Tom nicca now
1,"RT @WorkaholicBlake: *How girls become friends* Omg, I love your shoes *How guys become friends* Excuse me sir,I see u fuck bitches. I, ..."
1,"Aint this a bitch,! The power out from this shit."
1,Sitting up here next to the neighborhood crazy bitch &amp; she keeps randomly busting out laughing.
1,"RT @NinoDemayo: Chicks wait til their hair is all broken down to go natural in their 30s, but bitch about the young Carter's fro from birth&#8230;"
1,RT @SkylarLogsdon: @viva_based bruh you fucked the shit out of my taste buds with that bitch.
1,hell yeah I'm being a pussy cat today.. don't forget a sexy one
1,wut spook me even more is its gon be dark when nigga drive outta hea..... im sick already
1,"cousin: why is there a bird on your screen
me: it's twitter
cousin: i poke you
me: that's facebook"
1,@kieffer_jason u made me drive all the way to Plano then wanna bitch out
1,RT @F1abraham: Crew of women hillbillies &amp; gangsters w/the director #ItsAWRAP @AxemanTheMovie @JostonTheney @RachelEReilly &#9992;&#65039;&#127916;&#127909; http://t.co&#8230;
1,"RT @E_Tae627: ""@KB_Three: Lil skinny bitch throw ha like a frito 
#TecoRemix""bol"
1,Salute RT @ShitneyW0rd_: &#128221; RT @Shvkxir: Spit on my chest like a nasty bitch.
1,@iStricer You are hairy like a monkey. : P
1,RT @heyamandakrebs: I bet there are hella rednecks who just got super pissed at that Coke commercial
1,@Midnight_Snacka u calling me a pussy but u not bout shit fuck all this talking let's pop shit off then
1,RT @Rock76_: just show im not playing in this bitch one false move ima spraying in this bitch @1waynostra
1,You right fam. RT @pufntrees: @202SOLE jus peeped ur tl.cmon son.look at em.he a bitch
1,"Dudes proudly volunteer to be baby daddy #2,3,4 and 5.Whether they'll be a father or not all over some pussy property."
1,"@NYRKelsMads 
Dat dawg live betta den most colored folk in my hood"
1,mother fuxker the devil is ah lie bitch I'm the truth
1,"RT @YankeesWFAN: One scout said Prado is ""first team most underrated."" Gives the Yankees a 2b through 2016, could slide to 3b if needed too."
1,So niggers really believe Phelps just smokin on a regular huh? Tell me now &amp; I'll log off for the night
1,RT @LilFrenchy__: corny sex being having you wanna kill that bitch right then &amp; there &#128514;&#128553;&#128545;
1,"@MorganSmith_20 @clint_dempsey @TRAEABN bitch you said you don't even like trae , fuckin poser!!"
1,&#8220;@badnradbrad: @whattheflocka @MorbidMermaid sydneys my favorite&#8221; she's a nigger but I love her
0,RT @calvin2000: Really? This is what's concerning him right now? MT @katiecouric: Looking forwd to speaking with John Kerry tomorrow AM abo&#8230;
1,Punk ass broke faggots.
1,"We don't love these hoes, I only want one night &#128514;&#128553;&#9996;&#65039; Jayballout #onlywantonenight #312 https://t.co/ooxHCzfGJP"
1,YMCMB always get caught up with strippers. Tyga actually had a child with one. Niggas get rich a buy bitches
0,&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 http://t.co/pxwlZkWaCs
1,RT @Goldie_Brim: Smack a bitch no filter
1,@AbstractLife yeah. can't lie tho spitting on a cop car right with their bitch ass in it feels damn good.
1,RT @aurie_xo: Fuking bitches that don't move when you say excuse me is what's wrong in this world.
0,@dreadywhiteboy @JwanUrebay then the kid he sold it to brought it back to him cooked in a brownie
1,"don't follow me and unfollow me, you are retarded"
1,"RT @Huntermoore: If she doesn't take it in the ass, tell the bitch you'll pass."
1,You only bully people you know you can. Why you ain't do this in the playoffs bitch? @KingJames
1,young buck wanna eat!!.. dat nigguh like I aint fuckin dis up again
1,"&#8220;@Kxng_Jase: Versace Versace, I talk shit on twitter and so that bitch blocked me&#8221;@bremarie17"
1,That bitch can't touch me
1,Lol Lebron a bitch.. Now that basketball is back say goodbye to sports center.. It's Lebron center now..
1,RT @stepheeezyy: Rt *nigga *bitch *him &#8220;@187XO_: ' I will never date a female with another niggah name on her lol . Wtf .&#8221;
1,@DamianHuffaker haha just kiddin but ya we should and get that fag @taylerhatesyou to come and well go fishin or some shit
1,Lmaooo naw man RT @DipOnline Yo want in RT @HumbltonBanks: U serious bro?? lol RT @CheezMoeJenkinz 2-3:10am early bird special
1,She said to bring a bitch of mine &#128514;done &#128514;&#128514;&#128514;
0,@cryancarfield haven't you ever heard the story of the birds and the bees
0,"#rejectedpeanutsspecials Its The Grape Crackhead, Charlie Brown!"
1,RT @ChavoDaGreat: &#8220;@TreVaughnLG: Frfr come party wimmie I'm leavin this shithole til summfest&#8221; I'm leavin dis hoe before that!
1,"Your girl pussy like a walk in clinic, the cure for every sick nigga"
0,@slayerific13 @brenda_skelton @daisymcgarr I don't hunt birds unless you count shooting dove out of season off my power line with a bb gun
1,"""@__taradise__: Ya nigs out there still saying y'all don't eat butt?!"" WITH A STRAIGHT FACE!"
1,@JUSTLOVE_NOHATE @Me_NOindirect whole hoe outchea.......
0,@TheGamecubeGuy any more birds in school?
1,"@amck73 And because it sounds like there is NO prenup, he's gonna cash in, not her. He apparently has ghetto credit. 'magine that?!"
1,RT @thelibraicon: &#128514;&#128514;&#128514; RT @WeNotSocks: &#128557;&#128557;&#128557; RT @IntenseDesire: Bow wow look like the stress of saving a hoe is wearing him down http://t.co/S&#8230;
1,RT @JLM_2014: It ain't nothin to cut that bitch off&#128129;
1,I hate when people organize plans and you end up reaching the destination before them...bitch don't ask me if I'm here
0,RT @CuteForFall: I can't wait to wear warm fuzzy sweaters &#128525;&#9786;&#65039;&#127809;&#9749;&#65039; http://t.co/d3BlSbpryd
1,"#TrayvonMartin referred to Zimmerman as a ""creepy ass cracker"". Racist thug."
1,"RT @Dipset_Kenn: RT @ToneThaMan55: RT @PAPER_CHAYSIN: I love money fuc a bitch I won't stress myself , and I keep my mouth closed cuz I can&#8230;"
1,@JTrevorHowerton @HollyRFisher because it's hilarious how it makes teabaggers freak out. I'll do it again too.
1,"RT @iMIKEDUNN: For all you bitches that think you're a ""bad bitch"", please tell that to Rhonda Rousey."
1,RT @TheRealTenski: When I die take my casket to the club so bitches can twerk on it I'm putting the fun back in funeral
1,@WyattNuckels @matt_petrie22 yeah nigga I get bitches and Matt's fucking gay as shit
1,RT @Broski5519: Lmao.. bitches hate u but still follow u...
1,RT @CuhCuhCuh: if the pussy not fartin u not fuccin right cuh
1,Murda mook!!!!
1,RT @NFLTalkRT: RT if your team is trash
1,Grow up bitch
1,RT @Petahhdagod: bitch http://t.co/GLUuG7qz2p
1,"Lmao &#171;@MickDaddy_ &#171;@TylerIAm ""I mean damn bitch you was almost ready 20 minutes ago"" http://t.co/DtQGxJKJv7&#187;&#187;"
0,RT @tableninemutant: So City Lights is a Charlie Chaplin movie by @007hertzrumble http://t.co/qYN1Bc7MxS via @wordpressdotcom
1,RT @samAfuckingA: I wish I was a bird so I could constantly shit on the people I hate! :)
1,"RT @OMGitsBabyJoe: I fucked your bitch a hunned times , what the fuck your bitch got on her mind? My fuckin dick.."
1,&#8220;@SexReIationship: Who else thinks lip biting is fucking sexy?&#8221;@MaiaPapayyya_ until that bitch bite too hard put a hoe out once for that
1,RT @MrRideThruThaD: Let me tell u funky bitches bout a pimp name c. I ain't payin for no pussy and my dick ain't free
1,Someone tell @RSherman_25 his dreads are part of the uniform. I'd pull your hair too. Why are you trash talking? Cut your Doodoo braids.
1,@duhhvenuhh love you too bitch&#128129;&#128536;
0,"I hope the Yankees get Soriano, shoulda never gave him away for Alex Rodriguez"
1,@ShawnIrwin9 good one fag boy.
1,Goodnight bitches (with a lisp)
1,"RT @ChubbyGirlGod: Lmaoo RT @patpatbush: That bitch called on Thor for some strength. &#58386;&#58386; RT""@ChubbyGirlGod: Wait... http://t.co/e0MTosPl6k"""
0,"RT @WayneRoot: Well there's difference between Erick Erickson and me. I've always understood Obama is Muslim Jihadi sympathizer:
https://t.&#8230;"
1,"Calling out teabaggers, conservatives on their BS: http://t.co/l8Qx8RMjrG via @YouTube"
1,bitch plz
1,Just had someone under 25 casually ask me what the 'FF' stood for on my car. R u fking serious &#128553; @FooFighters bitch.
1,@Buckm00se I don't like the sand nigger but it's entertaining like 6 knockdowns
1,@bellaangeletti ur a fag
1,@kincade00 @DaUnfuqwitable1 @Stoopid_lu103 @mistaturk5 @_PlayCrazy @GF_Dalifestyle fuck you bitch
1,@treyspears3 dude your fucking gay you made a twitter just to mock me fucking lowlife
1,"Why does MSNBC have a ""news"" show that is 100% opinion &amp; right wing talking points? Joe the nation is with PBO not u teabaggers #morningjoe"
1,I need a heated bra because my nips hurt so bad!
1,"@coughlan616 Youre racist against white people whigger. Anti-Racist is a codeword for anti-white.
Anti-zionist is a codeword for antisemite."
1,Slide in that hoe DM's like &#127938;&#127938;&#127938;
1,We over here struggling with college and work and ice jj fish making money for being trash lol. What has this world come to.
1,Sweet MiLF in white lingerie has her hose ripped and her pussy&#160;pounded http://t.co/CMacswjN5A
1,@Hunglikerobby_ that was so gay. And I was tanning bitch. Juvie made me white
1,"&#8220;@kaitlinfryer: Big oleeeee middle finger, bitch.&#8221;"
1,@InEyeAleE you're filled with pimps and hoes. We'll just talk about those I knows. @JosephBananas
1,Lebron is such a pussy.. always has to get picked up for cramps and shit
1,Damn internal alarm clock. Woke up at 6:35am feeling chunky from my 3am Cheerios splurge. Guilt led me to the treadmill. #Gym #nosleep
1,RT @DookieWithMe: &#128514; RT @itsablackguy: I&#8217;m assuming she got a cup on RT @AssholeFrmNY: Her pussy got a bicep b. wtf? http://t.co/Cl4jhGmXpi
1,this one bitch dont feel the same no more an henny dont really kill the pain no moree
1,@juniorshabidoo also Nack which autocorrect changed so I'm putting my phone in the trash and going to sleep
1,"i seen a nigga dressed to impress, hop out da bus n a bitch wit a phatty, get off at his stop too. Say somethin...GOD THROWIN U DA LOB"
0,"@AjKFAN Big congrats to all! I expect him to be blogging on rube chat in a few days! Now get some sleep, you will need it!"
1,#WestVirginia is full of white trash.
1,"@TreyDoe_: @HallDerik @20ToLife_ once fag."" You got pressed to the ground? ..hang up your cleats n never put them back on or think about it"
1,This bitch lying to me &#128514;&#128530;
1,@Rocko4Real is one of the rawest niccas doin dis shit!
1," Someone let me know why Drake so cold ? &#1041185;&#1041240;&#1043358;&#1043351;&#1043323; He my favorite rapper , this niggah HARD ."
1,@JerGucci I can trap anywhere I wanna just because I ain't a bitch n in rarely solo.
1,"""@irlfatty: my pussy sweet like watermelon http://t.co/SKlPh3TtoG""

Thotermelon"
1,RT @jadenleAnn: @22EdHam hit that bitch with a bottle
1,@ChaseBasford @justinbieber I was 200 bitch
1,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Hairy | hairy pussy http://t.co/Ntg2b0qDmx"
1,RT @AP_Noticias: #&#218;LTIMAHORA El republicano Charlie Baker elegido gobernador de Massachusetts. #Election2014 #APracecall http://t.co/qkbWQ&#8230;
1,RT @RIPvuhsace: Most of yall females boring as fuck then yall wonder why niggas only talk about havin sex bc theres nothin else to talk abo&#8230;
1,@KILLDion @h_christianne politics isn't twitter coon lol
1,@Huntermoore happy cuz I woke up white and not a nigger!
1,RT @LizzardJurado: @b10oreo YESSS it's that one! Ooze! This nigguh! &#128514;&#128514; http://t.co/7DBMDas6Om
1,When bitches you don't like talk to you at work. #workproblems #workflow #byebitch https://t.co/gqZuNhCVd3
1,"Yaaaasss, bitch! RT @xtina: In more important news... &#127926; http://t.co/Z3b8XVHUty"
1,@sassyharryballs ur ballsack is hairy gtfo tranny prude bitch
1,how you insecure but a hoe? TF
1,@Abels_Masochist you're not ghetto tho. You can live in the hood and not be ghetto #facts
1,"RT @OnDave_: ""@WhereYoHussleAt: @CiddyP_60 ion like him he annoying &#128514; I thincc he knows I don't too""

That nigga a supa fag on Dave"
1,"RT @JamesNasty: Here I am, ready to rant about gfs and dogs and tears and women who cant handle their liquor and get jealous of club hoes a&#8230;"
1,RT @Killah_Kae: Will your bitches do this for you ? http://t.co/gmjkOLmcyQ
1,@NabilAbuAmirah... he is a redneck fuck. This turd cutter is the lyinest of liars and his district is made up of yhe same...
1,@Blue_DreamMN @ExpectoMichaela seriously.. After that first conversation on your status he fb messaged me calling me a fag lololol
1,"Niggas excited by these bitches, them the weird boys"
1,"$60 torch down the drain cause either I was to high and lost it or one of my ""niggas"" finessed that hoe fuckkkkk ittt"
1,Fucc niccas dnt want no smoke
1,Happy birthday pops aka old negro spiritual aka the man who said I was an accident. 64 never looked so&#8230; http://t.co/Igq8v6RIHH
0,RT @jamiedupree: Vice President Biden &amp; his wife are in Florida today to stump for Democrat Charlie Crist in his bid for Governor
1,"&#8220;@matt_chu22: @wagggggie @RyanRiehle &#128514; I'm not close to being your dude, master chan&#8221; that's right bitch, bow down to your master &#128591;"
1,@iMGorgeous_HOES I learned from the great Asia Torres &#128583; take notes bitch &#128514;&#128514;
1,@1deep_williard @Marlin_FishyAss it was old ratchet hoes Bruh
0,"What an amazing, proud day it was today for @NKOTB and #blockheads! Time for bed! Good knight!"
1,"RT @Smooth_Orator: Slander don't exist when you make her cum. Every bad thing she says doesn't register, cuz you got the pussy."
1,@prettykells bitch yu nt gone mention me back
1,RT @PvTruest: #Nevertrustabitch never trust a bitch who has a fresh copy of master p album
1,"@MyNameShouldBe only one problem theres a ""no pussies allowed"" sorry @kerrythekilla..."
1,RT @DrugFree_DatzMe: Fuk being on some chill shit . I go 0 to 100 hoes real quick. &#128526;
1," Make a niggah buy a ring for ya finger &#1042469; , Jimmies for ya feet &#1043353; Jeans for that back &#1041191; lingerie for the... http://t.co/MxwTT9H4nc"
1,Stupid ass Alex. Scary little bitch. THROW IT!
1,&#8220;@Son_Goku_Tho: Dr gero made android 18 to destroy da world das sum bitch nigga shit I would program a girl android to gimme sum neck 24/7&#8221;
1,&#8220;@_DEROOO: &#8220;@ViriDoesItt: How I lose this sweet..&#8221;you ain't lose it you hide it lmfao Viri tryna smoke that hoe to his self&#8221; &#128514;&#128514;&#128514; Boy...
1,"RT @TerrorFranchise: ""I'm turning over a new leaf! No more drama and CoD for me!""
Is still a faggot.
#JustBigEThings"
1,"Yeah, I'm SO annoying until you need something...bitch #fuckfriendzones I don't play that shit, fuck with my heart and I'll make you wish"
0,#Yankees If Royals have a fire sale. I want the whole team!! Leave Gardner and Tanaka. The rest can please go. Along with Joe and Cash.
1,"@AngryWillHelms Genius, the politically correct term would be ""intellectually disabled."" It's highly offensive to use the word retarded."
1,@kamkamluvsblk Yeah one called me a race traitor lol
1,"My doctors office is retarded, ""we noticed you put in a prescription order, so we canceled it. Give us a call if you need a refill, thanks!"""
1,"Just started my upgrade for the level 2 dark elixer drill! 1,500,000 elixer. That was a bitch to get."
0,@RudyJay711 Asains had to take the Wu Tang Clan; the draft was suppose to be for half breed like me and @MikeTaylorShow #FallingInTheDraft
1,"i got, 300 bitches like I'm Sosa hoe.. my jewelery shinin like some mop and glo"
1,RT @Fck_Witcho_Mans: Fuck Michigan too many wanna be thugs. If you ask me y'all pussy. I'm out this bitch next year
1,RT @CurrenSy_Spitta: Don't Neva check a real nigga....... Check a hoe
1,Oh bitch you lurkin !? Well bitch I'm TWERKIN &#128514;&#128588;
1,This is EXACTLY why I don't tell this bitch SHIT !
1,"RT @kushed_420: ""It's a joke bitch, fix ya face"" &#128514;&#128514;&#128514;&#128557;&#128557; http://t.co/8lRHRZcaUK"
1,"RT @crystalcheyenne: @WhiteboiColeman thought you were sleeping, bitch &#191;"
1,"RT @breely216: The recommended serving size for brownies is ""all of them."""
1,Hoes will be hoes.
1,"I feel like this hoe owe me something ..,"
1,"RT @abreumegan_: Sex on 1st date dont mean you a hoe, waiting 90 days wont make you a wife, cute pics dont mean y'all happy, having a title&#8230;"
1,I swear this hoe been following me ever since I went on break
1,"""These hoes keep callin but I ain't pickin up""&#127926;&#127926;"
1,RT @Beautiful_Fool: Now he apologizing. Lol Fuck that hoe and her shot up pussy!
1,LMAO RT @80sbaby4life RT @HumbltonBanks: Yes &amp; no RT @ChannyMaraj Is it ok to beat a bitch up over some tweets or nah? http://t.co/gmcyHDtB
1,Tell me that that pussy is mineeeee
1,Saw this bad bitch today @Lil_Marieeee &#128539; http://t.co/BuFua1Pr8v
1,RT @Alejvndrv: &#8220;@1ortiz1: Id rather be your niggah&#8221;
1,"@_womanoverboard ""nigger"""
1,@Boner4Tuna @TCC_Grouchy @Mrs__Met @Vortmax29 @LLMajer @dmb1031 @APLMom @Frogtox @KishkaAndPipiks I've had shots go off where yellow smoke
1,this bitch is weird she knows too much
1,"""@GirlThatsVonte: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;"
1,RT @trix2343: @ZitlalyL @Vic_Manzan0 he's a beaner not a nigga
1,"RT @amaurer13: Just saw someone riding a bike while wearing camo, the bitch is asking to get hit!"
1,"""@ShanTaughtHer: These catfish hoes thinkin they slick.. But niggas catching on &#128524;"""
1,My grandma threw out all of my raps. Ones I made from 7th grade to now. I'm literally crying. Thats all my work in the trash. &#128530;&#128532;&#128547;&#128546;&#128557;&#128560;&#128545;&#128548;&#128544;&#128127;&#128122;&#128589;
1,RT @Bigboybeezy: &#8220;@IgnoreAllLaws: Pick one http://t.co/TBWonqMnJV&#8221; the girl behind the bar who ain't being a hoe
1,bitches love Sosa so I guess I'll wear Sammy Sosa &#128527;&#128514;
1,@kieffer_jason bitch am not I really don't fucking like you. why the fuck are you even talking to me ?
1,RT @datniggaT_RAW: top notch bitch hair down to her ass
1,@Italian_Montana im a boss ass bitch
1,@jumpmastere8 @dmcgowen1776 @visitorvisiting its retarded
1,RT @yungbabydad: @RandallSomia because they're all fucking two years old acting like I won't mind being tagged bitch I will violate you
0,RT @walshnyc: Which World Cup Teams Are Jihadis Rooting For? http://t.co/ecU754zHKk @versharma @vocativ http://t.co/8z0B7ocMqP
1,"RT @AliyahKorea: #Whiteculture thinking weave is ""ratchet"" and ""ghetto"" while ""extensions"" are perfectly fine."
1,Can't tell if Mexico has been impressive or if Brazil has just been trash today
1,Josh you're a hoe &#128514;&#128514;&#128514;&#128557;&#128557;&#128557;
1,Wake up bitches
1,"RT @skyereyes_: &#8220;@Feebito_23: Lol this is why I don't fuck with so many bitches&#8221;don't call her a ""bitch"""
1,Teen gets all her holes penetrated and even fists her own&#160;twat http://t.co/8yE0RTk7xc
1,@prettygrl_rocky ugly dyke
1,RT @reidk_97: Flappy bird is dusty
1,@michaelray_02 @blakeanderson21 thats life hoes gonna be hoes an you could blame Tammy
1,"@EyeOnPolitics @chrisloesch As long as its not one of those ""special brownies"" right?"
1,Yo bitch a freak fucked ha to sleep and dat was the last time I was slept on. . .Shit I woke ha up nd fucked ha again so she aint sleep long
1,"RT @KillAllSimps: If this nigga Kanye took Kim K to Wendy's, this means y'all regular hoes don't deserve them $200 dates http://t.co/QZ3hgE&#8230;"
1,@b0ss561 just beat the pussy up
1,@jaaaaaade__ You can't see it but I'm flipping you the bird
1,"RT @kaitlyn_lardi: ""@17Seniors: so i basically become a fearless bitch when i'm mad"""
1,"RT @best_seth14: Now the title bitch doesn't apply to all women, but all women have a lil bitch in em"
1,We live ina generation where we praise these hoes.
1,@Im_Thirst Shin's a faggot. I'm glad your chipped him.
1,@_ReneashaC @RishaaWilliams Hoe yu erbody bitch &#128514;&#9996;
1,That front flip was trash. That's how I front flip into the swimming pool and land on my back every time.
1,This bitch always got shit to say about what other people like
1,RT @LikeJordanGAF: Pity parties are trash &amp; I don't throw them .
1,"RT @cokvne: Fuck twerking, bitch can you cook? &#128530;"
1,Ahmed's moms bomb pussy&gt;&gt;&gt;
1,People gotta learn to appreciate the people that go out if their way to help you. Even if you don't want their help don't he a bitch
1,"@kcSnowWhite7 @SamSaunders42 don't forget nappy headed, butt ugly bitch, who's married to a Muslim"
1,Yeah hoe.
1,&#128073; RT @Pr3ttyN33: Don't like me ??? Have a &#128186;with the rest of the bitches waiting for me to give a fuck &#128540;&#128129;
1,I love how Everybody bitches about heat fans when we win but if they lose all the haters are 10x more obnoxious
1,Don't worry about the bitches I use to fuck wit.
1,RT @TAXSTONE: Shout out to all them bitches who don't own no designer shit and still look better than all YALL bitches with everything desi&#8230;
1,"Why beg for nudes when you could fuck that bitch and make a video. Staring yourself and you get some booty, win win."
1,This time a night dark skin niggas really turn into lightskin niggas I swear I seen a darkie try buying Starbucks 3mins ago but they closed
0,#WeAreRepublicNotRegime #POTUS BO violated USA sovereignty w/open border/Jihadis/criminal/diseased/Haitians/S.Americans #ImpeachObama
1,@LikeWhatYouSEA booty wop sided as hell
1,Niggas is hoes #OnHere and in real life too....
1,RT @girlposts: i hate when netflix stop &amp; asks if im still watchin like yes u think i got up &amp; started doin somethin with my life bitch put&#8230;
1,all y'all some hoes tbh
1,@ElizabethBatman &amp; @z0mbiedance are bitches.
1,@TheRealOweifie You do it to us so payback is a bitch. hahaha &lt;3 happy valentines day though.
1,"RT @JohnnieGoings: Money, clothes, hoes, and cars. #Merica"
1,@_lexisperez he ate my pussy i could..
1,RT @Dathighyellaguy: Dem hoes who swear their pussy priceless but u sell ass all day &#128533;
1,RT @Cashmere_Nasir: @SkinnyBee__ @BossLifePiFF you lil stupid lil bitch she ain't fuckin with you (bug Sean voice)
1,@hand_tex @drapermark37 humans are evil man. Cutting tusks of these beautiful animals so chinks think the get a hard on.
1,RT @MadFlyentist: Look at all those fake ass fuck boy ass desperate for a ring ass trash ass fake ass fans out there
1,God people can be so mean. This Asian guy held the door for these girls and they said they were surprised he could see it with his slant eye
1,"Trainer lady is a bitch, shook my hand made me promise her I'ma study for a test tomorrow, and idk I don't like her she's trying to break me"
0,Ayo I jus had a mini heart attack behind the wheel..north Philly n fire crackers don't mix&#128553;&#128553;&#128514;&#128514; I&#8230; http://t.co/o5v2E4LFtm
0,"This mint brownies recipe is made with almond flour, coconut palm sugar, coconut oil, and coconut mi http://t.co/XZZfDoLZDn"
1,"RT @jerrilyn71: ""@HistoryGoon: hey dicklicker! it says im happily divorced not bitter! homophobic? im not scared of queers..i hate em! fudg&#8230;"
1,"@KamalShaqi @Kevinnnnn_05 it's funny how this page quoted my tweet about the term ""camel jockey"" bc I AM a fucking Arab you dumbass &#128529;"
1,Why can't you be humble like your moms and not hoes
0,RT @nikaaaa3: Yankees winnnn!!! &#128153;
1,@yelafox @_saharbabyy because hoes disguise themselves as real women
1,RT @DJ_Cellophane: oomf pussy probably taste like the Krabby patty secret formula.
1,"i got some retarded ass friends, but i love em tho they make my life nicer."
1,Dem niccas run plays too quick
1,RT @LaquishaBae: Racist white cops arresting blacks again. Can't wait till black cops arrest whities then hear them bitch. #Fastfoodstrike
1,@HarleyyyQuinn_ trash
1,"""@GirlThatsVonte: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit"
1,"Ayy yo @Ray_Lakee my nigga @who__CHRISJONES be all up on da,pussy not lettin dat muafucka breathe."
