Foul,Post,language,Unnamed: 2
1.0,"#SlightlyAdjusted RT @CapoToHeaven Alls niggers wanna do is fuck, tweet, and drink pineapple soda all day",english,
0.0,"""Jis tareeke se Indian Army aage badh rahi hai Woh dekhkar lagta hai ki BJP aur das saal rahi to China ka kad Nepal ke barabar ho jayega.....😂😂""",hindi,
1.0,RT @BvttousaiBonez: Ross is tha biggest bitch,english,
1.0,RT @PluggedInPiff: Green azz niggas!!!! &amp; yall new bitches condone dat sucka activity dat why they keep doin it!!!,english,
1.0,RT @KeepDatShit100: NASHVILLE* RT @DragonBallDeez: *Atlanta RT @PacDaGoat: Houston has so many trash drivers,english,
1.0,aundu pandub gandu,hindi,
1.0,maan ja bsdk,hindi,
1.0,bhai teri maa  chod dunga,hindi,
0.0,Keep those away frm Charlie Day RT @JhonenV: Just once in my life I'd like for someone's favorite part of my body to be my disgusting knees.,english,
1.0,"It's so scary hoe Annabella does everything I do , she acts just like me &#128514;",english,
1.0,Gand mein zanjeerein,hindi,
1.0,@vernon1488 town . At a movie with friends. I stabbed a nig 3 times and got sent to prison. Justice?,english,
1.0,Lol Lebron a bitch.. Now that basketball is back say goodbye to sports center.. It's Lebron center now..,english,
1.0,"I had a dream I was in 4th grade again with my class except as my current self and remember thinking ""you're crazy, you become a hoe, moron""",english,
1.0,1 loyal girl &gt; 1OO hoes,english,
1.0,harami k bchee hoo yrrrr tum log ,hindi,
1.0,RT @MarshallTaylor_: You got niggas and I got bitches.,english,
1.0,@laceeybugg bitch im 5'7 1/2 smd hoe,english,
1.0,"@MorganSmith_20 @clint_dempsey @TRAEABN bitch you said you don't even like trae , fuckin poser!!",english,
1.0,@_theDarius bitch just be looking for my shit.,english,
1.0,Fuck you niggah I'm cold &amp; my aunts said no more throwing people in so I'm going to take a shower &#128524;,english,
1.0,RT @sorryimalex: I'm only back cause I don't wanna see the boys lose to trash #vote5sos,english,
1.0,"""@KelsieBelsi: You're not a man if you refer to every girl as a bitch""",english,
0.0,RT @Ketamine_Stalin: IF A SINGLE WASP COULD READ THESE #WaspFacts TWEETS THERE COULD BE A PEACE TREATY BETWEEN WASPS AND MAN BUT WASPS ARE &#8230;,english,
1.0,college tere baap ka nhi h lund jldii ayaa krr,hindi,
1.0,I hate all these industry fags. I hope they all get the Nigerian Summer Flu,english,
1.0,It's moe's monday ten ten ten twenties on yo titties bitch,english,
1.0,@mynamesryann @Caroline_Poe why would i need to call her and bitch/cunt to your face? Im talking to her not you dumbass,english,
1.0,Lmaoooooo lil Dave you a hoe for that,english,
1.0,"7. ""@ThePushpendra_ Nahi aur yeh kamina is desh ka kabhi bhalaai ki nahi sochta yeh sirf apna ghar bharta hai. Supreme Court mein aap arzi lagao wahi se kuch ho sakta hai varna lower court mein aise hi samay aur paisa ki barbaadi hai wahaan bahut se vakil hain jo free mein case ladte hain unse milna padega media mein bhi apni baat Jantar-Mantar par khade hokar kahni hogi hum sadaiv saath denge #ReportForSSR | Pithani ne CBI ke saamne khole raaz-'Sushant ke credit card par shopping karti thi Rhea, ghar ka samaan bhi becha' https://t.co/SoVy7ncqm1""",hindi,
1.0,RT @BongRipBo: @Thompson_Era Muhammad Ali. Roy Gracie out this hoe,english,
0.0,@_DRACHEOFFICIAL I've tried. I always hit ALT+F4 and eat Mega Stuffed Oreos because I can't figure out those programs. lol,english,
1.0,@Mids_areForkids lmao im bein foreal fuck all them bitches like that!,english,
0.0,RT @_Pb_swain_: Indori: Tujhe bhi Yamraj sahab ghisda ke laye kya? Agnivesh: Nahin! Yamraj mera phoofa lagta hai na! Bhense pe aage baitha ke laya!,hindi,
0.0,Janmashtami mein mor pankh itna zyada mahatvapurn hai ki uske liye rashtriya pakshi ko bhi nahin baksha. Ye ghatna kahan ki hai main nahin jaanta lekin kya in jeevon ki hatya zaayaz hai ya ye sawaal Bakrid - Eid ke liye hi hai @TajinderBagga Kangana ke saath-saath tu apni Reena didi ke bhi yaad kar le lekin Mumbai mein chaah kar bhi BJP wale ise nahi bacha payenge kyun ki poore Maharashtra ko Pakistan bata diya hai Maharashtra swabhimaan ke liye jaani jaati hai.,hindi,
1.0,The fuckin hoes,english,
1.0,You're just another nigguh.,english,
1.0,"@NewsCommenter @gatewaypundit Who the Hell needs permission for anything from that fat-assed, ghetto whore?",english,
0.0,"""Sushant ki health condition ke baare mein jaanti thi behan Neetu Singh?, Abhineta ki manager sang hui thi WhatsApp chat - #SushantSinghRajputCase https://t.co/0f9pD9TAy4""",hindi,
1.0,Murda mook!!!!,english,
1.0,@ileny13 @GiselleMaryy fuck up hoes meaning stfu hoes lol &#128517;,english,
1.0,Lund biryani,hindi,
,,hindi,
1.0,Bhen ke lode,hindi,
0.0,"Modi ji ne itna pukhta kaam kar diya hai ki agle baar jo bhi satta mein aayega,
desh ka kuch nahi bech payega!",hindi,
1.0,Thats bad when your bestfriend says yu act like a hoe Cx,english,
1.0,"If a nigca neva told you ""bitch you got some bomb azz puzzy"" kill yaself bitch http://t.co/CZXRV9to4A",english,
1.0,&#128064; RT @Mr_QuenchYaGirl: A lotta fck niggas on this here Twitter. Really be talking like bitches.,english,
0.0,RT @AmPowerBlog: @velvethammer Parent in Phoenix Says Administrators Made Her Son Wear Pink Fairy Wings on First Day of High School http://&#8230;,english,
0.0,&#9733; BEST ASIAN MASSAGE ON THE Brooklyn Park slope --TOP RATED SPA &#9733;718-622-0221 - 24 http://t.co/saWpjDtIGN,english,
0.0,"15. ""Arthvyavastha ka ubharna mushkil, shunya se 10.9% neeche rahegi 2020-21 mein vikas dar #IndianEconomy @FinMinIndia @RBI @nsitharaman #GDP""",hindi,
1.0,chll bhai chutiya h kesi baat krta,hindi,
1.0,"#TweetLikeYourBestfriend ""I made out with 3 bitches!"" @lilkrebs",english,
0.0,"Teesre user ne likha,",hindi,
1.0,RT @BiggMoe_: Floyd Mayweather stay with a badd bitch lol,english,
1.0,"cousin: why is there a bird on your screen
me: it's twitter
cousin: i poke you
me: that's facebook",english,
1.0,RT @constantini_c: Who wants to be @ImFlyinJryan's 600 follower? Follow bitches! #cruze2014 #Pittsburgh,english,
1.0,RT @ThatGuyBryant28: Still the greatest tweet ever. RT @DJZeeti bitches run on emotion not logic .. a bitch will say 1+1=3 if the number ...,english,
1.0,lund ka dhatura bsdk,hindi,
1.0,The spot is open for you take so your better grab it before another bitch do and if she is determined and beautiful enough she will do it!,english,
0.0,"RT @Garvey_B: New sign up at mong kok protest site says: ""fight for democracy and oppose the communists to have a future"" http://t.co/w2pOn&#8230;",english,
1.0,@kelly_ryaaaan only dumb bitches r in 8th,english,
1.0,I almost beat that bitch up.,english,
1.0,Ghode ke lode,hindi,
1.0,Hulk se chude teri maa,hindi,
1.0,@shmapplemen haha yeah it's just gonna be a bitch going btw there and Illinois on leave mannn. I'm stoked they are tho,english,
0.0,"11. ""Pichle do-teen dino se Priyanka Vadra ko lekar kuch zyada hi prachar-prasar ho raha hai, ye to ganimat hai Indira ki mrityu ke samay Priyanka janm le chuki thi varna Congressiyon mein katha phail jaati ki Indra ji ka punarjanm ho gaya!""",hindi,
1.0,@_tiffnasty some niggas didnt desrve to have that bitch in the first place,english,
1.0,@GoHard_Brown @your_daddy9 &amp; xavier you bitch.,english,
1.0,"bsdk left lena tha ,right me gusha de",hindi,
1.0,"@The__Sweetest no shit you are, what euros would call a typical American, fat as fuck and goes to eat fast food all the time, dumb bitch.",english,
1.0,RT @ReevesJunya: bitch ass niggas claim to be yo homies then get on dirt .. All bitch ass niggaa can die slow,english,
1.0," I know I Know I know . Them streets they fuck with me strong , and them bitches gon fuck just because money... http://t.co/odtcHpD5G7",english,
1.0,@Lion_of_Gray @roodawg1971 @mrfayoh @khanye_s @sas2afoundation here's my opinion on the matter..... She's a cunt.,english,
1.0,chlll mere lund pr baithja ghar chodhdungaa,hindi,
1.0,"@nedrock83 don't tell what the fuck to ""stop"" with. 2nd, if you think it's protocol to put 6 shots in someone who's unarmed, you're a retard",english,
1.0,"""@JAYten9: In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe",english,
1.0,RT @Yung_Mizzo: I got money I don't need u bitch,english,
1.0,chudai khana n h jo yha agya',hindi,
1.0,saale ghusja uski gand m,hindi,
1.0,"Someone tell me where the drinks at. Where the bitches at. You fucking on the first night, meet me in the back. #game",english,
1.0,RT @ImHis_Treasure: For the last few weeks my name been cripple &#128555;&#9855;&#65039;,english,
1.0,Bhen ke lode,hindi,
1.0,"Y'all be giving the pooest bitches so much hype, stop it.",english,
1.0,bina chuttad k bsdk,hindi,
1.0,chll ab mere lund pe lataK Jaaa,hindi,
1.0,You must be part of the cat family. . Cuz you're a fucking pussy,english,
1.0,"RT @AH_Michael: 12 lava cakes, bitches. #RTExtraLife",english,
0.0,"""Sushant case ki jaanch CBI ke bajaye agar UP Police karti to ab tak 'Riya' ke rishtedaar uski 'tehrahi' ka bhoj khaakar apne gharon ko laut chuke hote. 😁😁😁😁""",hindi,
1.0,"It's a plane, it's a bird, nah it's just me doing laps around the dam. Lol",english,
1.0,I love all my bitches. And Im ridin for all my bitches no matter what.,english,
1.0,bhai teri bndi kitni rndi h hyr,hindi,
1.0,they made me put on basketball shorts now I look like a confused dyke mosh warrior,english,
1.0,"Your girl pussy like a walk in clinic, the cure for every sick nigga",english,
1.0,"RT @lnsaneTweets: once i take my bra off, don&#8217;t ask me to do shit for u bitch bc once that bra comes off, i am clocked out of life

i am do&#8230;",english,
0.0,"12. ""Bharat ne kaha, China ke sainikon ke saath Ladakh mein jhadap, kya kehna hai China ka? Story: Team BBC Aawaz: Bharat Sharma https://t.co/Re6GyZVmbY""",hindi,
0.0,"A light, tender yellow butter cake with a classic boiled icing, traditionally made from burnt sugar http://t.co/XPQKTlTNkH",english,
0.0,"tatha ""jihad"" aur ""sauhard"" ki #bhavana ko paribhashit karta hai।",hindi,
1.0,I'm a lady bitch,english,
1.0,baap bnale bsdk apna,hindi,
1.0,We live ina generation where we praise these hoes.,english,
1.0,@RussellTpot @ebgbz1 I am just saying.. I would beat you down like the bitch that you are... then put my foot on your neck and shoot you,english,
0.0,#VALUE!,hindi,
1.0,these bitches act local and think global.....,english,
1.0,These hoes ain't shit I ain't tripping off a Thot... ion like conversation you gone let me fuck or not,english,
1.0,kutte ki aulad bsdk,hindi,
1.0,RT @LiFEOf_AYUNgIN: That pussy is never yours it's just your turn remember that . &#128175;,english,
0.0,"Finished Yankeeography and still hate the Arizona D'backs for winning in 2001, Yankees shoulda had that",english,
1.0,She gonna pop that pussy for a real niggaa,english,
1.0,Ladies love a real nicca,english,
1.0,RT @salomanizor: Too many faggots on here that think they can address me by my first name,english,
1.0,Don't worry about the bitches I use to fuck wit.,english,
1.0,Thinking bout gettin 500$ put on my ears cuz I'm getting money bitch,english,
1.0,RT @YaboySkeete: This bitch slow lmaoooooo http://t.co/oPmDp5RgLV,english,
0.0,@TheGamecubeGuy any more birds in school?,english,
0.0,"Up Rashtrapati @MVenkaiahNaidu ne #PranabMukherjee ke nidhan par gehra dukh vyakt karte hue kaha, unhone us har pad ki garima aur shishtata ke saath shobha badhai jis par vah rahe. Unki mrityu ke saath Bharat ne ek behtareen neta kho diya hai https://t.co/K5ivtqfe7M https://t.co/K6MXLfak6I",hindi,
1.0,Tatti ke tiile,hindi,
0.0,They say our state bird is rare...I literally see one at least once a day,english,
1.0,U coons watching love and hip hop ain't you,english,
1.0,This game pissing me off including that bitch,english,
1.0,gandufadu game h bhai,hindi,
1.0,They say life is what you make it bitch but I'm just tryna make it .. Straight up,english,
1.0,bhai uss ldki ki mohabbat m lund hogya tha,hindi,
1.0,RT @1stblock_thomas: @1stBlocJeremiah @LowworldsFinest Nah boa That nigga Wayne run his mouth like a hoe &amp; my girl ain't No hoe so Chill wi&#8230;,english,
0.0,"""Ab chup nahi baithna hai bhaiyon. In sarkari dalali media ko bhi sabak sikhana hoga. #17_सितंबर_राष्ट्रीय_बेरोजगार_दिवस""",hindi,
1.0,"""@worldwarzee_: these hoes ain't loyal.""",english,
1.0,ahaha pussy is king,english,
0.0,1. Hamari sarkar bante hi Pakistan ko 5 hazaar karod ka qarz denge bina byaaj 50 saal ke liye।,hindi,
0.0,"""GDP mein aayi 23.9% ki giravat par bole Shatrughan Sinha - Dua karta hoon ki ise 'Act of God' na kaha jaye... | #GDP https://t.co/C1V4qUuUoL""",hindi,
1.0,RT @ThaReal_Elijah: Real niggah over here&#128175;&#128520;,english,
1.0,Been a trill nicca since a Lil nicca,english,
0.0,"""@sambitswaraj hamare purkhon ne 800 saal tak raj kiya hai. Ye kehne ke baad Abdul Pancher ban gaya 😆🤣😂""",hindi,
1.0,@bitchdicknigga you're a fucking nigger,english,
1.0,I wish @joederosacomedy didnt block me long ago for calling him a pussy so I could call him a pussy again and get blocked a second time.,english,
1.0,RT @PRAYINGFORHEAD: pussy boy don't want war,english,
1.0,@shoe1945 @NotoriousBM95 @333England shut ur faggot ass up you thirsty pussy,english,
1.0,Indiana lost to Bowling Green. Big Ten continues to be trash.,english,
1.0,I like taking niggas hoes but I stop doing that &#9995;,english,
1.0,"RT @I_AM_YOUNGPAPER: ""@Shane_A1: @I_AM_YOUNGPAPER boy wat in dat bitch eatin lunch err other day""Im Tellin Ya",english,
0.0,"""Dinank 13 September 1893 ko Swami Vivekanand ka ek bahut hi durlabh video jinhonne International All Religion Summit mein ek adbhut bhashan diya.""",hindi,
1.0,Smile at the hoes who hate you.,english,
1.0,Gaga is that bitch who probably gives A+++ lapdances.,english,
1.0,&#8220;@_BeautifulKeezy: &#8220;@100046729: @_BeautifulKeezy wassup&#8221;bye&#8221;bitch you outta order,english,
1.0,this shit so trash lol,english,
1.0,Its obvious the bitch is still immature and havent let go of the past yet. Just face it. You fucked up a good thing,english,
0.0,Alvida Pranab Mukherjee (1935-2020) https://t.co/b2Li8tzwp9,hindi,
1.0,kitna gnda admii h bsdk,hindi,
1.0,"@whits_20 Good read -&gt; RT @WIRED: Why your cat thinks you're a huge, unpredictable ape http://t.co/nzA3zUwugp http://t.co/P8F8Gmkufy",english,
1.0,"RT @BoyGoten: When Waka said, ""Suck My Dragon Balls bitch call me GOKU!"" http://t.co/N7kP7dS198",english,
1.0,teri maaa k lodaaa hai kya,hindi,
1.0,Juicy J can't say no to ratchet pussy remember?,english,
0.0,Mother Nature hates the Yankees and baseball,english,
0.0,"#Sushant mamla: Depression ko lekar taiyar ki gayi theory se santusht nahi hai CBI, Disha Salian ki maut ko lekar bhi ki poochtaach
@optbabu ki report
https://t.co/p2yFxrtmrF",hindi,
1.0,"I wish I could mute Rice Krispies, but instead them bitches ""Snap Crackling &amp; Popping..ain't that some shit.",english,
0.0,RT @WFANTrades: Don't know how you Yankees fans listen to Kay every night. Absolutely brutal. Just nonsensical blah blah blah blah. Radio n&#8230;,english,
0.0,"""Second phase ki ye parikshayein 14 September se honi hai. Parikshayein open book hongi. Yani inme chatra jawab dete samay kitaabon ya notes ka sahara le sakte hain.""",hindi,
1.0,"Dudes proudly volunteer to be baby daddy #2,3,4 and 5.Whether they'll be a father or not all over some pussy property.",english,
1.0,@LessonswithKate - I'm jst fckn w/ you.&#128514; I've always wanted to jigg hella good too. we jst not wild enough to be in the circle cuz.&#128557;,english,
1.0,You a faggot if you bring a jacket to work and keep it at ya desk b/c the office is cold.,english,
1.0,Should I expect good pussy or good but not good for you pussy from a Tampico drinker?,english,
1.0,RT @JaidTaylorLive: No &#9981;&#65039; for you hoes!,english,
0.0,"18. ""Kendra ne Supreme Court se kaha, bank loan mein chhoot do saal tak ke liye badh sakti hai- Aaj ki badi khabarein.""",hindi,
1.0,bhai call krliaaa bsdk,hindi,
1.0,Mummy out to beta betting karega... Beta out to mummy betting karegi... Chamchon ko hamesha fielding hi karni hai..!!🤣🤣,hindi,
0.0,"""Bharatiya Sena ki Modiji se shikayat:",hindi,
1.0,and bnd snd tu lele mera lund,hindi,
0.0,"19. ""RT @SandeepVishwa_: Pareshaan mat hoiye, mandi agar khud khatam nahi hui to uska naam badal kar 'bulandi' kar diya jaayega, andhbhakti kaal mein kuch bhi sambhav hai.""",hindi,
1.0,"RT @OxDictionary: I got bitches""

Definition: I'm with some female friends who don't know that I'm referring to them as bitches.",english,
1.0,"If Drew Stubbs were a pimp, he couldn't even hit a hoe.",english,
1.0,"@andreajmarkley @gantaro47 Yes, sorry grant, i'm a bitch so i'm going to ignore you like most libtards ignore the majority voice....",english,
1.0,RT @NoLovee_Lost: Bend ha over pull ha hair eat her pussy lick her ass,english,
1.0,i bet yo bitch try n slide once i let my hair down,english,
1.0,Higher den a bitch,english,
1.0,"This does create a slippery slope tho , players gonna have to watch they mouth too , no tolerance for ignorance anymore",english,
0.0,"23. ""Pitru Paksh mein kya karein aur kya na karein! #PitruPaksh #Sprituality""",hindi,
0.0,RT @daqraca: How can anyone hate Charlie Sheen http://t.co/AF4T3MtmxU,english,
1.0,"How my bestf gon call me "" People "" like ima regular niggah to her now smh .",english,
1.0,"Because I'd rather wear my hair long and have piercings, I'm a faggot that will never go anywhere in life.",english,
1.0,gand m dm hai to tu krle,hindi,
1.0,Hit it and pass it until that pussy elastic,english,
1.0,I drive by and them bitches waive but girl I can't stop,english,
1.0,"RT @_Fashi0nista: &amp; it's sad cause niggas will have a good girl &amp; do her wrong, it's hard finding a good bitch out here forreal.",english,
1.0,http://t.co/bPU86qzYFt Lola Foxx &#8211; Steaming hot Nubile Lola Foxx shoves her dildo deep into her wet&#160;pussy http://t.co/br1Mjkk8dz,english,
1.0,"RT @cotydankh: ""are these hoes loyal?""

&#12288; N
&#12288;&#12288; O
&#12288;&#12288;&#12288; O
&#12288;&#12288;&#12288;&#12288; o
&#12288;&#12288;&#12288;&#12288;&#12288;o
&#12288;&#12288;&#12288;&#12288;&#12288; o
&#12288;&#12288;&#12288;&#12288;&#12288;o
&#12288;&#12288;&#12288;&#12288; &#12290;
&#12288;&#12288;&#12288; &#12290;
&#12288;&#12288;&#12288;.
&#12288;&#12288;&#12288;.
&#12288;&#12288;&#12288; .
&#12288;&#12288;&#12288;&#12288;.",english,
1.0,"This ""Deb"" women at my eye appointment.. bitch",english,
0.0,"""August mein berojgari dar 8.35 feesadi darj ki gayi. #unemployment https://t.co/Bd9MM41agu""",hindi,
1.0,"I ain't going to movies, hoe we straight sexing.",english,
1.0,"RT @traphouseryan: ""Damn girl that pussy talkin"" &#128128;&#128557;&#128557; Im keeled over nigga",english,
0.0,"14. ""PM Modi 10 baje Pranab Mukherjee ka antim darshan karenge #Morningnews #PranabMukherjee #PranabDaLastRites https://t.co/0LudmXSKCz""",hindi,
1.0,And bitch I ain't bout to debate with Ya funky ass either.,english,
1.0,RT @elchavaloko: @_WhitePonyJr_ @Buckm00se @Eric_Mariners i see you guys kicked this long haired faggot out your lil video game team,english,
0.0,RT @Yankees: Time to bounce in the Bronx. #LetsGoYankees #Walkoff http://t.co/W5ATfRsLKK,english,
1.0,"RT @MAfreedom: If you dont see the connection between legitimizing the queer lifestyle, and an increase in STD's and sexual deviancy- yo ...",english,
0.0,Badhi desh ki taakat: America-Russia aur China ke 'hypersonic' club mein Bharat bhi shaamil.,hindi,
1.0,@GallagherEmily nigra in da back,english,
1.0,@kincade00 don't watch me watch tv hoe,english,
1.0,ur trash! http://t.co/6KN7PzTgl8,english,
1.0,@Hillgasm bitch need crutches,english,
1.0,Nah nicca.. you GOT GAS! &#128541;&#128514;&#128514;&#128514;RT @SpaceJam_Teeg: @VonshayeB &#128514;&#128514;&#128514; blowing gas &#128548;,english,
0.0,rakshaa mantrii rajnathsingh ne puurv raashṭrapati pranabmukherjee ke nidhan par shok vyakt kiyaa,hindi,
1.0,Two foreign hoes Iont like the basic,english,
0.0,so. mad... We live in a world where whitey can go to jail for a word other folks wear right on their hats &amp; tshirts. If I wore that shirt...,english,
1.0,gaand jesi shkl k,hindi,
1.0,RT @GetRKOd: Have a seat drunk bitch #RKO https://t.co/6XpNyr1Jbn,english,
1.0,Charlene crave colored cock,english,
0.0,"Suresh Raina ne apne tweet mein parivaar ke saath hue haadse ka kiya jikr, Punjab Police se kiye ye maang | #SureshRaina https://t.co/9DDtT6RYIQ",hindi,
1.0,"RT @Fratfession: ""Every frat should have gay brothers because they pull hella fine bitches to your parties"" - Sigma Alpha Epsilon",english,
0.0,"RT @RawstonGeorge: &#8220;@distilled9water: ""@wizzyjr https://t.co/OtZ0FGDVpR &#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#8221; bitch gotta die 10,000 deaths. &#128534;&#128557;&#8221; &#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557; GTFOH",english,
1.0,"If everybody already hit, Of course a nigga can't take you seriously.. Idk why hoes be so surprised..",english,
0.0,"#hoosier fans, is cody zeller nominating for this years #NBA draft? #iubb",english,
1.0,@AARONCARTER push me on the wall slowly take my panties down and write alphabet with ur tongue on my tight pussy,english,
1.0,kitne logi ajj ke ,hindi,
1.0,RT @PowBlocks: @WaldoKillz3 @hidalgoparadise @D_41395 @olgadontshred lmao that hashtag had me dying princess hoe needs to get a Twitter lol,english,
1.0,Hazlenut coffee and graham crackers every morning &#128525;&#128588;&#128152;,english,
1.0,Not a neanudda bitch @CONSTANTINE_D_,english,
1.0," I just feel like my mouthpiece so cold &#1041185; I'll give lessons to every niggah that ever got turned down , for the low cost of $24.99 &#1043358; Hmu .",english,
1.0,Took .1 of Molly (gonna die) #pussy #ass #bitch,english,
0.0,"""Aath mahine baad Mathura jail se bahar nikle Dr. Kafeel Khan, haath jodkar sabko diya dhanyavaad #KafeelKhan https://t.co/z1eJcg9bkz""",hindi,
1.0,"A guy claiming to be Republican called C-Span news and said ""Republicans hate that nigger Obama"" https://t.co/XZe0u7guZM",english,
0.0,Arroz con pollo,english,
1.0,@lenadunham Sick bitch nutjob,english,
1.0,"That bitch was worried about fines? Fuck you. My best friend got jumped by 6 cock suckers. Fines should be the least of your worries,",english,
1.0,I thincc I'm a pretty average bitch ya know &#128527;,english,
1.0,RT @domhowx: You know you're ugly when an ape was chosen as a man crush and you've never been http://t.co/DWPs7b4xJU,english,
1.0,"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof",english,
1.0,RT @oweeSheREDD: you tell ya business to ah bitch so I can't trust ya,english,
1.0,"RT @MettaDamnFool: &#128557;&#128557;&#128557;&#128557; RT @_MoonWP_: When dykes hear ""ladies free before 10"" http://t.co/k2TU1S85t6",english,
0.0,"Raghuram Rajan ki raay: Anaukchaarik sector ke nuksaan ko bhi data mein shaamil kar lein, toh GDP mein 23.9% se kahin zyada giravat aayi hai https://t.co/RzhKODRs7D #GDPData #IndianEconomy @RaghuramRRajan @FinMinIndia @nsitharaman @ianuragthakur @RahulGandhi @PChidambaram_IN @PMOIndia @narendramodi",hindi,
